student_id,dorm_id,dorm_rating,landlord_rating,final_rating,dorm_tags,landlord_tags,relevance_label
S0001,D064,3.2,2.9,4.2715731955928,"Noise, Location, Wi-Fi",Biased,0
S0001,D011,3.4,4.4,2.7796922990962063,Amenities,,1
S0001,D036,4.4,3.7,2.8276816082643603,,,1
S0001,D062,5.0,5.0,3.9798364988880066,,,1
S0001,D070,5.0,5.0,5.0,,,1
S0002,D070,5.0,5.0,3.9480931612255143,,,1
S0002,D032,4.4,4.8,3.5390620284646133,,,1
S0002,D021,4.4,5.0,5.0,,,1
S0002,D050,4.8,4.3,5.0,,,1
S0002,D002,4.5,5.0,4.06598477154936,,,1
S0002,D046,4.3,4.7,3.971217323686661,,,1
S0003,D038,4.0,3.3,2.444862744326381,,"Dishonest, Communication difficulties",1
S0003,D034,3.7,3.9,4.920309551353465,,,1
S0003,D066,5.0,4.3,5.0,,,1
S0003,D010,2.8,2.0,1.7870358384910894,"Amenities, Security, Cleanliness",Biased,0
S0003,D014,3.5,3.4,2.8636285244132305,,"Neglecting complaints, Biased",1
S0003,D045,5.0,5.0,5.0,,,1
S0003,D018,4.1,4.9,3.5494124411934034,,,1
S0003,D071,3.6,2.8,2.210082313145367,,"Dishonest, Communication difficulties",0
S0003,D031,4.4,5.0,3.7077559549002674,,,1
S0004,D063,4.2,3.2,2.8625250779762705,,Biased,1
S0004,D006,3.9,3.0,2.0958413055062515,,"Neglecting complaints, Biased",1
S0004,D036,4.4,4.9,3.751744532976699,,,1
S0004,D015,4.3,4.0,5.0,,,1
S0004,D013,4.6,4.0,3.1163469872588574,,,1
S0004,D010,2.9,3.8,2.4034572176787297,"Location, Wi-Fi",,0
S0005,D053,2.1,2.6,3.422086700227873,"Noise, Wi-Fi","Biased, Landlord Behavior",0
S0005,D034,4.4,3.7,2.7376362912532546,,,1
S0005,D016,2.2,2.0,3.549520623657642,"Cleanliness, Noise, Wi-Fi",Neglecting complaints,0
S0006,D056,5.0,5.0,4.352926519070962,,,1
S0006,D062,2.6,1.7,1.0,Security,Landlord Behavior,0
S0006,D034,2.1,2.7,1.3078837069204616,"Location, Security","Biased, Neglecting complaints",0
S0006,D018,4.1,4.3,4.958244388298959,,,1
S0006,D072,2.6,3.0,1.8408642437617386,"Noise, Wi-Fi","Biased, Neglecting complaints",0
S0006,D003,2.5,3.5,1.4199674247145229,"Cleanliness, Security",,0
