student_id,dorm_id,dorm_rating,landlord_rating,final_rating,dorm_tags,landlord_tags,relevance_label
S0001,D064,3.2,2.9,3.1,"Noise, Location, Wi-Fi",Biased,0
S0001,D011,3.4,4.4,3.8,Amenities,None,1
S0001,D036,4.4,3.7,4.1,None,None,1
S0001,D062,5.0,5.0,5.0,None,None,1
S0001,D070,5.0,5.0,5.0,None,None,1
S0002,D070,5.0,5.0,5.0,None,None,1
S0002,D032,4.4,4.8,4.6,None,None,1
S0002,D021,4.4,5.0,4.6,None,None,1
S0002,D050,4.8,4.3,4.6,None,None,1
S0002,D002,4.5,5.0,4.7,None,None,1
S0002,D046,4.3,4.7,4.5,None,None,1
S0003,D038,4.0,3.3,3.7,None,"Dishonest, Communication difficulties",1
S0003,D034,3.7,3.9,3.8,None,None,1
S0003,D066,5.0,4.3,4.7,None,None,1
S0003,D010,2.8,2.0,2.5,"Amenities, Security, Cleanliness",Biased,0
S0003,D014,3.5,3.4,3.5,None,"Neglecting complaints, Biased",1
S0003,D045,5.0,5.0,5.0,None,None,1
S0003,D018,4.1,4.9,4.4,None,None,1
S0003,D071,3.6,2.8,3.3,None,"Dishonest, Communication difficulties",0
S0003,D031,4.4,5.0,4.6,None,None,1
S0004,D063,4.2,3.2,3.8,None,Biased,1
S0004,D006,3.9,3.0,3.5,None,"Neglecting complaints, Biased",1
S0004,D036,4.4,4.9,4.6,None,None,1
S0004,D015,4.3,4.0,4.2,None,None,1
S0004,D013,4.6,4.0,4.4,None,None,1
S0004,D010,2.9,3.8,3.3,"Location, Wi-Fi",None,0
S0005,D053,2.1,2.6,2.3,"Noise, Wi-Fi","Biased, Landlord Behavior",0
S0005,D034,4.4,3.7,4.1,None,None,1
S0005,D016,2.2,2.0,2.1,"Cleanliness, Noise, Wi-Fi",Neglecting complaints,0
S0006,D056,5.0,5.0,5.0,None,None,1
S0006,D062,2.6,1.7,2.2,Security,Landlord Behavior,0
S0006,D034,2.1,2.7,2.3,"Location, Security","Biased, Neglecting complaints",0
S0006,D018,4.1,4.3,4.2,None,None,1
S0006,D072,2.6,3.0,2.8,"Noise, Wi-Fi","Biased, Neglecting complaints",0
S0006,D003,2.5,3.5,2.9,"Cleanliness, Security",None,0
S0007,D043,4.4,4.2,4.3,None,None,1
S0007,D021,4.1,5.0,4.5,None,None,1
S0007,D026,4.5,3.7,4.2,None,None,1
S0007,D072,4.6,5.0,4.8,None,None,1
S0007,D051,3.9,3.4,3.7,None,"Neglecting complaints, Biased",1
S0007,D059,4.4,4.7,4.5,None,None,1
S0007,D042,3.9,4.2,4.0,None,None,1
S0008,D058,3.3,3.0,3.2,Security,"Biased, Dishonest",0
S0008,D032,2.3,2.1,2.2,"Cleanliness, Noise, Amenities, Wi-Fi","Landlord Behavior, Biased",0
S0008,D056,4.8,4.2,4.6,None,None,1
S0008,D018,4.2,4.2,4.2,None,None,1
S0008,D002,3.1,3.8,3.4,"Cleanliness, Wi-Fi, Amenities",None,0
S0008,D042,2.9,2.5,2.7,"Location, Amenities, Wi-Fi","Landlord Behavior, Biased",0
S0008,D026,3.4,2.9,3.2,Wi-Fi,Landlord Behavior,0
S0009,D024,3.5,2.6,3.1,None,"Biased, Communication difficulties",0
S0009,D030,3.5,3.0,3.3,None,"Landlord Behavior, Dishonest",0
S0010,D015,3.8,3.8,3.8,None,None,1
S0010,D012,3.8,3.5,3.7,None,None,1
S0010,D075,3.8,4.0,3.9,None,None,1
S0010,D007,3.9,3.0,3.5,None,"Biased, Neglecting complaints",1
S0010,D054,3.9,4.5,4.1,None,None,1
S0010,D008,4.2,4.1,4.2,None,None,1
S0010,D068,3.2,2.7,3.0,"Cleanliness, Security",Communication difficulties,0
S0010,D038,4.1,5.0,4.5,None,None,1
S0010,D004,3.9,3.1,3.6,None,"Dishonest, Communication difficulties",1
S0011,D072,2.6,1.6,2.2,Location,Biased,0
S0011,D031,5.0,4.6,4.8,None,None,1
S0011,D037,1.8,2.2,2.0,Location,Landlord Behavior,0
S0011,D048,1.8,1.9,1.8,"Noise, Wi-Fi","Dishonest, Biased",0
S0011,D035,2.1,1.4,1.8,"Wi-Fi, Cleanliness","Communication difficulties, Landlord Behavior",0
S0012,D065,3.5,3.9,3.7,None,None,1
S0012,D067,3.8,4.5,4.1,None,None,1
S0012,D037,2.4,2.8,2.6,"Cleanliness, Noise",Dishonest,0
S0012,D055,4.9,5.0,4.9,None,None,1
S0012,D011,3.9,4.4,4.1,None,None,1
S0012,D050,5.0,5.0,5.0,None,None,1
S0013,D023,3.2,2.8,3.0,"Wi-Fi, Cleanliness, Amenities","Biased, Neglecting complaints",0
S0013,D054,3.5,4.0,3.7,None,None,1
S0013,D068,3.3,3.4,3.3,"Noise, Wi-Fi","Landlord Behavior, Dishonest",0
S0013,D007,3.2,3.8,3.4,"Security, Wi-Fi",None,0
S0013,D061,3.2,3.5,3.3,"Wi-Fi, Amenities, Location",None,0
S0013,D049,3.2,2.5,2.9,Security,Landlord Behavior,0
S0013,D016,3.5,4.2,3.8,None,None,1
S0013,D047,3.0,3.6,3.2,Amenities,None,0
S0014,D027,2.6,1.9,2.3,"Cleanliness, Wi-Fi","Biased, Dishonest",0
S0014,D060,4.4,3.6,4.1,None,None,1
S0014,D028,3.2,2.9,3.1,"Wi-Fi, Amenities",Landlord Behavior,0
S0014,D036,3.6,3.4,3.5,None,"Neglecting complaints, Dishonest",1
S0014,D046,4.0,3.8,3.9,None,None,1
S0014,D032,2.8,3.4,3.0,"Cleanliness, Amenities, Location, Wi-Fi","Biased, Communication difficulties",0
S0015,D075,4.0,3.2,3.7,None,"Neglecting complaints, Dishonest",1
S0015,D044,3.3,3.4,3.3,"Amenities, Noise, Cleanliness",Biased,0
S0015,D003,4.2,4.5,4.3,None,None,1
S0016,D004,3.2,2.5,2.9,"Cleanliness, Location",Biased,0
S0016,D012,3.5,2.5,3.1,None,"Landlord Behavior, Neglecting complaints",0
S0016,D014,2.5,1.9,2.3,"Cleanliness, Wi-Fi, Location",Neglecting complaints,0
S0016,D005,3.1,2.7,2.9,Wi-Fi,Dishonest,0
S0016,D033,2.2,1.7,2.0,Cleanliness,Neglecting complaints,0
S0016,D028,3.8,4.7,4.2,None,None,1
S0017,D006,3.1,4.0,3.5,Wi-Fi,None,1
S0017,D036,4.8,5.0,4.9,None,None,1
S0017,D012,2.8,3.4,3.0,"Location, Amenities, Wi-Fi","Communication difficulties, Neglecting complaints",0
S0018,D003,2.2,1.6,2.0,Security,Dishonest,0
S0018,D036,2.9,2.2,2.6,Wi-Fi,Neglecting complaints,0
S0018,D019,4.7,4.0,4.4,None,None,1
S0018,D072,4.7,3.8,4.3,None,None,1
S0018,D031,4.2,4.0,4.1,None,None,1
S0018,D066,2.4,2.2,2.3,Noise,"Dishonest, Neglecting complaints",0
S0019,D057,2.1,1.6,1.9,"Security, Wi-Fi, Noise",Biased,0
S0019,D023,3.1,2.7,2.9,"Amenities, Cleanliness",Landlord Behavior,0
S0020,D062,2.8,2.0,2.5,"Amenities, Cleanliness, Noise",Communication difficulties,0
S0020,D075,2.8,3.4,3.0,Wi-Fi,"Landlord Behavior, Neglecting complaints",0
S0020,D033,1.9,2.8,2.3,"Cleanliness, Security",Neglecting complaints,0
S0020,D019,3.4,3.0,3.2,"Cleanliness, Location","Neglecting complaints, Communication difficulties",0
S0021,D052,3.8,3.0,3.5,None,Dishonest,1
S0021,D033,3.1,3.6,3.3,Noise,None,0
S0021,D036,4.7,5.0,4.8,None,None,1
S0021,D023,4.4,4.5,4.4,None,None,1
S0021,D040,5.0,4.8,4.9,None,None,1
S0021,D031,4.5,4.0,4.3,None,None,1
S0021,D027,4.0,4.4,4.2,None,None,1
S0021,D032,4.2,3.5,3.9,None,None,1
S0022,D046,4.0,3.1,3.6,None,"Dishonest, Biased",1
S0022,D071,3.4,2.8,3.2,"Amenities, Location","Communication difficulties, Biased",0
S0022,D070,5.0,5.0,5.0,None,None,1
S0022,D044,5.0,4.5,4.8,None,None,1
S0022,D002,5.0,4.2,4.7,None,None,1
S0022,D051,3.0,3.5,3.2,"Security, Wi-Fi",None,0
S0022,D036,2.6,3.1,2.8,Wi-Fi,Landlord Behavior,0
S0022,D023,5.0,5.0,5.0,None,None,1
S0023,D023,4.8,3.8,4.4,None,None,1
S0023,D021,3.9,4.3,4.1,None,None,1
S0023,D016,4.9,4.2,4.6,None,None,1
S0023,D040,1.9,2.3,2.1,"Location, Cleanliness, Amenities",Neglecting complaints,0
S0023,D053,3.8,4.5,4.1,None,None,1
S0023,D008,2.2,2.0,2.1,"Security, Noise, Wi-Fi",Neglecting complaints,0
S0023,D005,2.8,2.1,2.5,"Wi-Fi, Security, Cleanliness","Dishonest, Communication difficulties",0
S0024,D033,2.7,2.5,2.6,"Cleanliness, Noise",Neglecting complaints,0
S0024,D031,5.0,5.0,5.0,None,None,1
S0025,D074,2.9,2.5,2.7,Cleanliness,"Dishonest, Communication difficulties",0
S0025,D048,2.6,3.5,3.0,"Cleanliness, Amenities, Location",None,0
S0025,D023,2.7,1.7,2.3,"Noise, Security","Landlord Behavior, Neglecting complaints",0
S0026,D011,4.2,3.6,4.0,None,None,1
S0026,D043,2.3,1.5,2.0,"Wi-Fi, Cleanliness",Biased,0
S0026,D045,2.0,2.0,2.0,Security,"Dishonest, Biased",0
S0026,D023,2.3,1.9,2.1,"Wi-Fi, Location","Landlord Behavior, Biased",0
S0026,D026,3.0,2.9,3.0,Noise,"Landlord Behavior, Communication difficulties",0
S0027,D019,4.9,4.3,4.7,None,None,1
S0027,D069,1.9,1.7,1.8,"Noise, Cleanliness, Wi-Fi",Biased,0
S0027,D018,4.3,5.0,4.6,None,None,1
S0027,D058,3.4,3.4,3.4,"Security, Wi-Fi","Biased, Neglecting complaints",0
S0027,D032,1.4,2.3,1.8,Wi-Fi,Communication difficulties,0
S0027,D048,2.6,3.1,2.8,Cleanliness,"Biased, Landlord Behavior",0
S0027,D033,4.2,3.8,4.0,None,None,1
S0028,D024,3.6,3.5,3.6,None,None,1
S0028,D046,3.5,4.0,3.7,None,None,1
S0028,D054,3.7,3.3,3.5,None,Communication difficulties,1
S0028,D007,4.1,3.6,3.9,None,None,1
S0028,D022,2.5,1.9,2.3,"Cleanliness, Location, Wi-Fi",Neglecting complaints,0
S0029,D001,3.9,3.4,3.7,None,Biased,1
S0029,D031,3.7,4.7,4.1,None,None,1
S0029,D007,3.8,3.7,3.8,None,None,1
S0029,D053,3.1,2.3,2.8,"Amenities, Wi-Fi","Neglecting complaints, Communication difficulties",0
S0029,D030,2.4,3.4,2.8,Noise,"Biased, Landlord Behavior",0
S0029,D032,3.4,3.7,3.5,"Cleanliness, Noise, Wi-Fi",None,1
S0029,D017,3.7,4.6,4.1,None,None,1
S0029,D022,4.2,3.7,4.0,None,None,1
S0029,D047,3.8,3.2,3.6,None,Landlord Behavior,1
S0029,D052,4.2,3.8,4.0,None,None,1
S0030,D014,4.2,5.0,4.5,None,None,1
S0030,D040,2.8,2.2,2.6,"Noise, Security","Landlord Behavior, Neglecting complaints",0
S0030,D006,4.6,5.0,4.8,None,None,1
S0031,D074,5.0,4.7,4.9,None,None,1
S0031,D048,2.4,2.1,2.3,"Location, Security, Noise",Communication difficulties,0
S0031,D014,1.9,1.7,1.8,Wi-Fi,Landlord Behavior,0
S0031,D059,2.3,3.1,2.6,"Wi-Fi, Security, Amenities",Landlord Behavior,0
S0031,D055,4.8,5.0,4.9,None,None,1
S0031,D031,5.0,4.9,5.0,None,None,1
S0031,D051,3.8,3.9,3.8,None,None,1
S0031,D067,3.8,3.1,3.5,None,"Neglecting complaints, Communication difficulties",1
S0031,D072,3.2,3.7,3.4,"Noise, Security, Amenities",None,0
S0032,D046,4.8,5.0,4.9,None,None,1
S0032,D053,2.8,2.6,2.7,"Cleanliness, Wi-Fi, Noise",Communication difficulties,0
S0032,D031,4.3,4.4,4.3,None,None,1
S0032,D024,2.7,3.1,2.9,"Amenities, Security, Cleanliness",Biased,0
S0032,D013,4.9,4.7,4.8,None,None,1
S0032,D007,4.3,4.1,4.2,None,None,1
S0032,D047,3.8,3.2,3.6,None,Neglecting complaints,1
S0032,D049,3.7,4.1,3.9,None,None,1
S0033,D027,2.4,2.4,2.4,"Location, Noise, Security, Wi-Fi",Communication difficulties,0
S0033,D029,4.8,4.9,4.8,None,None,1
S0033,D038,3.5,2.6,3.1,None,Communication difficulties,0
S0033,D039,2.5,1.8,2.2,"Wi-Fi, Noise",Dishonest,0
S0033,D007,3.7,3.1,3.5,None,Landlord Behavior,1
S0033,D060,4.9,5.0,4.9,None,None,1
S0033,D017,5.0,4.6,4.8,None,None,1
S0034,D046,4.2,3.7,4.0,None,None,1
S0034,D062,2.4,3.2,2.7,"Noise, Cleanliness",Communication difficulties,0
S0034,D055,3.9,4.8,4.3,None,None,1
S0034,D019,3.1,4.0,3.5,"Security, Location, Cleanliness",None,1
S0034,D031,4.4,4.8,4.6,None,None,1
S0034,D071,3.6,3.1,3.4,None,Biased,0
S0034,D041,2.3,1.8,2.1,"Security, Amenities, Wi-Fi","Dishonest, Biased",0
S0034,D044,4.5,5.0,4.7,None,None,1
S0035,D042,4.4,4.3,4.4,None,None,1
S0035,D056,5.0,4.4,4.8,None,None,1
S0036,D019,4.7,5.0,4.8,None,None,1
S0036,D058,2.8,1.8,2.4,Wi-Fi,"Neglecting complaints, Dishonest",0
S0036,D075,2.7,1.8,2.3,Amenities,"Landlord Behavior, Dishonest",0
S0036,D066,3.3,3.9,3.5,"Cleanliness, Amenities, Location",None,1
S0037,D032,1.0,1.0,1.0,"Cleanliness, Wi-Fi, Location",Communication difficulties,0
S0037,D038,4.6,4.9,4.7,None,None,1
S0038,D073,3.3,2.3,2.9,Location,"Landlord Behavior, Dishonest",0
S0039,D008,4.3,4.4,4.3,None,None,1
S0039,D033,4.6,3.9,4.3,None,None,1
S0039,D034,4.2,3.5,3.9,None,None,1
S0039,D017,4.5,4.9,4.7,None,None,1
S0040,D044,4.2,3.2,3.8,None,Landlord Behavior,1
S0040,D059,4.2,3.4,3.9,None,"Dishonest, Landlord Behavior",1
S0040,D011,3.4,2.4,3.0,"Amenities, Wi-Fi","Communication difficulties, Dishonest",0
S0040,D037,2.6,3.0,2.8,"Security, Cleanliness, Amenities",Landlord Behavior,0
S0040,D023,3.8,4.7,4.2,None,None,1
S0040,D003,1.8,1.0,1.5,"Cleanliness, Noise",Landlord Behavior,0
S0040,D018,3.1,2.5,2.9,"Noise, Location, Wi-Fi","Dishonest, Communication difficulties",0
S0041,D068,3.9,3.6,3.8,None,None,1
S0041,D010,2.6,3.4,2.9,"Noise, Security, Cleanliness",Dishonest,0
S0041,D029,4.5,3.8,4.2,None,None,1
S0041,D053,2.0,1.9,2.0,"Cleanliness, Security, Wi-Fi","Communication difficulties, Dishonest",0
S0041,D031,4.0,5.0,4.4,None,None,1
S0041,D063,3.7,3.5,3.6,None,None,1
S0041,D017,3.0,2.8,2.9,"Amenities, Location, Noise",Dishonest,0
S0041,D022,3.7,3.8,3.7,None,None,1
S0042,D019,3.0,3.1,3.0,Amenities,Neglecting complaints,0
S0042,D056,5.0,5.0,5.0,None,None,1
S0042,D050,4.5,5.0,4.7,None,None,1
S0042,D032,1.3,1.0,1.2,"Cleanliness, Wi-Fi",Communication difficulties,0
S0042,D057,2.5,3.4,2.9,Cleanliness,"Communication difficulties, Dishonest",0
S0042,D010,4.2,3.5,3.9,None,None,1
S0042,D059,3.0,3.9,3.4,"Wi-Fi, Security",None,0
S0043,D015,2.0,1.3,1.7,"Security, Wi-Fi, Amenities",Biased,0
S0043,D029,3.9,4.3,4.1,None,None,1
